"AudioMoth","Sampling_Hours","background_counts","gc_counts","mm_counts","sc_counts","StationID","Folder.name","elevation","slope","aspect","tree_cover","land_type","tree_height","Protected_area","Forest_500m_region","Distance_from_edge","mm_count_30m","sc_count_30m","mm_sc_count_30m","geometry"
"AU18",563.770833333333,350709,482,1521,7299,"AU18","AU18",804,26.7292366027832,186.842773412632,66,1,21,"Vietnam","Centre",1049.39564406297,1.34895236687484,6.47337496766565,7.82232733454049,c(657196.311249018, 2534608.78977934)
"AU19",584.431944444444,403152,111,2225,5500,"AU19","AU19",794,13.0587387084961,187.431407971173,68,1,12,"Vietnam","Centre",630.827510597189,1.90355782324242,4.70542383273407,6.60898165597649,c(658397.002006045, 2532708.517899)
"AU20",602.743055555556,379095,224,3159,17613,"AU20","AU20",757,19.980920791626,31.5042667192043,51,1,16,"Vietnam","Centre",689.044000567766,2.6205196151852,14.6107033815312,17.2312229967164,c(657375.040426453, 2532487.06220267)
"AU21",559.276388888889,376209,674,2148,10807,"AU21","AU21",755,11.1991491317749,315,83,1,18,"Vietnam","Border",382.061027420301,1.92033853267739,9.6615914909891,11.5819300236665,c(657984.860964743, 2533660.05877404)
"AU22",432.088888888889,265352,30,1041,5551,"AU22","AU22",767,13.1753482818604,19.9831065219001,64,1,13,"Vietnam","Centre",544.294762270992,1.20461324830282,6.42344682164164,7.62806006994445,c(657816.269198484, 2534608.43210852)
"AU23",574.808333333333,405560,133,511,2436,"AU23","AU23",808,26.3249473571777,284.036243467926,64,1,17,"Vietnam","Centre",731.314931369922,0.444495991417429,2.11896719196254,2.56346318337997,c(656144.866255758, 2535744.19416056)
"AU24",599.731944444444,413541,202,1941,4814,"AU24","AU24",848,14.9403285980225,192.994616791917,79,1,13,"Vietnam","Centre",596.143419842234,1.61822295608918,4.01345971695688,5.63168267304606,c(655824.589512658, 2535916.21650866)
"AU25",512.558333333333,346630,542,1610,6263,"AU25","AU25",841,27.4744300842285,180,60,1,18,"Vietnam","Border",231.251968198368,1.57055294519323,6.10954850667404,7.68010145186727,c(655069.627366245, 2536615.49327024)
"AU26",609.770833333333,411401,72,743,5592,"AU26","AU26",696,16.2539176940918,149.036243467926,59,1,11,"Vietnam","Border",467.737600542734,0.609245276572483,4.58532918787796,5.19457446445045,c(657399.409354525, 2535446.42861489)
"AU27",585.104166666667,409495,570,1268,5445,"AU27","AU27",768,30.5801773071289,156.037511025422,74,1,11,"Vietnam","Centre",911.356722541954,1.0835677407869,4.65301762506676,5.73658536585366,c(657062.225458693, 2535121.95733905)
"AU28",571.626388888889,385496,2744,2536,11251,"AU28","AU28",777,35.8843803405762,229.484606009545,85,1,18,"Vietnam","Centre",1532.33572509254,2.21823209118232,9.84121816162946,12.0594502528118,c(655759.883262152, 2534765.35274452)
"AU29",327.561111111111,203615,1625,447,3993,"AU29","AU29",575,8.39893913269043,118.300755766006,99,1,20,"Vietnam","Centre",784.111758069119,0.682315428842795,6.09504587778362,6.77736130662642,c(657990.639320394, 2532355.98891708)
"AU30",575.613888888889,387120,334,1810,9557,"AU30","AU30",669,40.1656341552734,13.7069610040798,78,1,18,"Vietnam","Centre",1307.97956303475,1.57223447430521,8.30157175189773,9.87380622620294,c(656889.038306886, 2533411.09724042)
"AU31",596.761111111111,385417,1471,5390,10778,"AU31","AU31",692,17.8740081787109,262.874983651098,85,1,16,"Vietnam","Centre",1195.7991527165,4.51604494633066,9.0304141802508,13.5464591265815,c(656145.892901379, 2534009.49703365)
"AU32",589.697222222222,413668,16,757,3403,"AU32","AU32",679,8.98487758636475,34.6951535312347,75,1,17,"Vietnam","Centre",777.534853773755,0.641854812497939,2.88537903161227,3.52723384411021,c(655369.851910104, 2534105.58169622)
"AU33",580.927777777778,397169,38,1016,6995,"AU33","AU33",650,22.4068717956543,157.166345822083,90,1,16,"Vietnam","Centre",1499.992352205,0.874463262788451,6.02054185354844,6.89500511633689,c(656120.083263088, 2534454.9493311)
"AU34",630.751388888889,423600,181,850,5884,"AU34","AU34",695,20.7804183959961,71.565051177078,92,1,17,"Vietnam","Centre",674.93047482106,0.673799546836775,4.66427827480892,5.3380778216457,c(657474.506773605, 2534311.95847497)
"AU35",579.252777777778,393356,4628,712,3188,"AU35","AU35",633,34.8097190856934,220.333141628561,82,1,19,"Vietnam","Centre",1412.43267248474,0.614584881864087,2.75182107216673,3.36640595403081,c(656736.18871091, 2534694.07039387)
"AU36",540.240277777778,320764,1,200,3983,"AU36","AU36",611,26.7836036682129,236.30993247402,82,1,17,"Vietnam","Centre",546.195936981735,0.185102822046774,3.68632270106151,3.87142552310829,c(657703.914472093, 2535003.33244933)
"AU37",587.383333333333,394936,5859,90,4254,"AU37","AU37",669,17.5484008789062,55.304846468766,75,1,16,"Vietnam","Centre",1097.77050876631,0.0766109582044662,3.62114462446443,3.6977555826689,c(656217.292045422, 2535383.84649614)
"AU38",538.198611111111,377027,632,592,2427,"AU38","AU38",554,9.66440963745117,139.763641690726,0,1,9,"Vietnam","Centre",537.091231413558,0.549982838842538,2.25474383424128,2.80472667308382,c(656467.592270984, 2536111.313512)
"AU39",603.197222222222,355380,13,107,1209,"AU39","AU39",706,25.7184314727783,228.36646066343,78,1,16,"Vietnam","Centre",1267.08530221815,0.0886940423944629,1.00215978742902,1.09085382982349,c(654197.183286892, 2535570.96930455)
"AU40",463.784722222222,307241,13,981,8312,"AU40","AU40",617,27.4397029876709,105.642246457209,100,1,19,"Vietnam","Centre",914.979339422216,1.05760275510968,8.96105412892117,10.0186568840309,c(654636.019155024, 2536073.22562534)
"AU41",28.9666666666667,18616,0,110,222,"AU41","AU41 file failed",526,16.5583381652832,19.6538240580535,6,1,6,"Vietnam","Border",322.334289528037,1.89873417721519,3.83199079401611,5.73072497123129,c(654799.043615322, 2537078.73239608)
"LP26",216.948611111111,141117,2,977,1510,"LP26","LP26 listening_post_gibbon_survey_additional",783,40.7376022338867,195.48850144291,79,1,20,"Vietnam","Border",57.8812066631579,2.25168530694033,3.48008681011248,5.73177211705281,c(655240.054207792, 2537131.06974273)
"LP27",142.576388888889,101299,0,326,447,"LP27","LP27 is listening_post_gibbon_survey_additional",864,25.9960594177246,298.141601232262,75,1,17,"China","Centre",727.031157399389,1.14324679752569,1.56758073157664,2.71082752910233,c(654886.545662787, 2537862.54553976)
"P01",611.4125,410797,736,2590,6300,"P01","P01",872,22.2036437988281,120.963756532073,79,1,20,"Vietnam","Centre",760.104296939558,2.11804632715229,5.15200457955963,7.27005090671192,c(653914.249436809, 2535134.72961509)
"P05",567.727777777778,393295,50,1399,7335,"P05","P05",832,27.2385711669922,82.1847064532331,85,1,18,"Vietnam","Centre",841.655004867377,1.23210458846669,6.45996222759343,7.69206681606012,c(654344.990491872, 2536480.15585999)
